Country,Sub Region,Region
Burundi,Eastern Africa,Africa
Comoros,Eastern Africa,Africa
Djibouti,Eastern Africa,Africa
Eritrea,Eastern Africa,Africa
Ethiopia,Eastern Africa,Africa
Kenya,Eastern Africa,Africa
Madagascar,Eastern Africa,Africa
Malawi,Eastern Africa,Africa
Mauritius,Eastern Africa,Africa
Mayotte,Eastern Africa,Africa
Mozambique,Eastern Africa,Africa
Reunion,Eastern Africa,Africa
Rwanda,Eastern Africa,Africa
Seychelles,Eastern Africa,Africa
Somalia,Eastern Africa,Africa
United Republic of Tanzania,Eastern Africa,Africa
Uganda,Eastern Africa,Africa
Zambia,Eastern Africa,Africa
Zimbabwe,Eastern Africa,Africa
Angola,Middle Africa,Africa
Cameroon,Middle Africa,Africa
Central African Republic,Middle Africa,Africa
Chad,Middle Africa,Africa
Congo (Brazzaville),Middle Africa,Africa
"Congo, Republic of the...",Middle Africa,Africa
Equatorial Guinea,Middle Africa,Africa
Gabon,Middle Africa,Africa
Sao Tome and Principe,Middle Africa,Africa
Algeria,Northern Africa,Africa
Egypt,Northern Africa,Africa
Libyan Arab Jamahiriya,Northern Africa,Africa
Morocco,Northern Africa,Africa
South Sudan,Northern Africa,Africa
Sudan,Northern Africa,Africa
Tunisia,Northern Africa,Africa
Western Sahara,Northern Africa,Africa
Botswana,Southern Africa,Africa
Swaziland,Southern Africa,Africa
Lesotho,Southern Africa,Africa
Namibia,Southern Africa,Africa
South Africa,Southern Africa,Africa
Benin,Western Africa,Africa
Burkina Faso,Western Africa,Africa
Cape Verde,Western Africa,Africa
Côte d'Ivoire,Western Africa,Africa
Gambia,Western Africa,Africa
Ghana,Western Africa,Africa
Guinea,Western Africa,Africa
Guinea-Bissau,Western Africa,Africa
Liberia,Western Africa,Africa
Mali,Western Africa,Africa
Mauritania,Western Africa,Africa
Niger,Western Africa,Africa
Nigeria,Western Africa,Africa
Saint Helena,Western Africa,Africa
Senegal,Western Africa,Africa
Sierra Leone,Western Africa,Africa
Togo,Western Africa,Africa
Anguilla,The Cariibbean,America
Antigua and Barbuda,The Cariibbean,America
Aruba,The Cariibbean,America
Bahamas,The Cariibbean,America
Barbados,The Cariibbean,America
"Bonaire, Saint Eustatius and Saba",The Cariibbean,America
British Virgin Islands,The Cariibbean,America
Cayman Islands,The Cariibbean,America
Cuba,The Cariibbean,America
Curaçao,The Cariibbean,America
Dominica,The Cariibbean,America
Dominican Republic,The Cariibbean,America
Grenada,The Cariibbean,America
Guadeloupe,The Cariibbean,America
Haiti,The Cariibbean,America
Jamaica,The Cariibbean,America
Martinique,The Cariibbean,America
Monserrat,The Cariibbean,America
Puerto Rico,The Cariibbean,America
Saint-Barthélemy,The Cariibbean,America
St. Kitts and Nevis,The Cariibbean,America
Saint Lucia,The Cariibbean,America
Saint Martin,The Cariibbean,America
Saint Vincent and the Grenadines,The Cariibbean,America
Sint Maarten,The Cariibbean,America
Trinidad and Tobago,The Cariibbean,America
